Knee Angle (deg),Torque (Nm/kg)
-68.0,-0.03121283863695842
-67.0,0.03680866207387494
-66.0,0.10279888827746085
-65.0,0.16649021710382025
-64.0,0.2276150256829742
-63.0,0.28590569114494346
-62.0,0.3410945906197491
-61.0,0.39291410123741216
-60.0,0.44109660012795343
-59.0,0.48537446442139376
-58.0,0.5254800712477545
-57.0,0.5611457977370561
-56.0,0.5921040210193198
-55.0,0.6180871182245666
-54.0,0.6388324574914649
-53.0,0.6542937748329203
-52.0,0.6647195309313516
-51.0,0.6703793195911141
-50.0,0.6715427346165631
-49.0,0.6684793698120537
-48.0,0.6614588189819414
-47.0,0.6507506759305814
-46.0,0.6366245344623293
-45.0,0.6193499883815399
-44.0,0.599196631492569
-43.0,0.5764340575997713
-42.0,0.5513318605075024
-41.0,0.5241596340201178
-40.0,0.49518647210873723
-39.0,0.46466243359820936
-38.0,0.43281307659572654
-37.0,0.3998623443820211
-36.0,0.3660341802378253
-35.0,0.3315525274438714
-34.0,0.29664132928089176
-33.0,0.2615245290296185
-32.0,0.2264260699707841
-31.0,0.19156989538512076
-30.0,0.1571799485533607
-29.0,0.12348017275623634
-28.0,0.09069451127447992
-27.0,0.05904690738882363
-26.0,0.028761304379999873
-25.0,5.419954669128008e-06
-24.0,-0.027416219763364842
-23.0,-0.05384342925094307
-22.0,-0.07961639032289564
-21.0,-0.1050752847940526
-20.0,-0.13056029447924405
-19.0,-0.1564116011933001
-18.0,-0.18296938675105062
-17.0,-0.2105738329673259
-16.0,-0.23956512165695582
-15.0,-0.2702834346347706
-14.0,-0.30306895371560016
-13.0,-0.33826186071427483
-12.0,-0.37620233744562426
